Latitude,Longitude,flooded
24.69252084437589,91.98883172624842,1
24.724681456250902,91.95418829935109,0
24.672860166543266,91.91062873946169,0
24.664048817409608,91.98051289893978,0
24.71290609898199,91.96495499859017,0
24.660674970221322,91.99072062978036,0
24.73371896379453,91.91617322864043,1
24.67518199724049,91.9133259707193,0
24.68619604783764,91.94691609933605,0
24.697685642129944,91.9239362616544,1
24.71387220107593,91.90900502139921,1
24.685107610635665,91.93132956164567,0
24.69985619844941,91.97254221989046,1
24.676787879659976,91.94588070131141,0
24.71212330817471,91.89984924642452,0
24.713484600540685,91.9120584992321,1
24.664675736223213,91.98865176947285,0
24.745702196524505,91.97482727914142,1
24.686229474561866,91.90488962681908,0
24.720384341040333,91.93859079933338,0
24.669802902735817,91.94400537914109,0
24.661916937491863,91.98475843273015,0
24.68210574568219,91.96047270299542,0
24.686868029022392,91.9464547446457,0
24.70801123041304,91.91346865004378,1
24.74605781690274,91.9715539427586,0
24.743350966353876,91.98333226976474,0
24.712616838049097,91.98599377032848,0
24.6667847470382,91.91456372112734,1
24.66289211633141,91.92729192864788,0
24.693792785072155,91.92197999495052,0
24.733385608006348,91.93038405266265,0
24.684099019031972,91.94868141883083,0
24.67150210123203,91.97421714302124,0
24.66553037887337,91.99239122957326,0
24.728302878536073,91.91483263933083,1
24.659319787439575,91.97552240740052,0
24.722419881974627,91.96701502970177,0
24.72821520839416,91.9025646084261,1
24.691074609381452,91.90668026487151,0
24.736477556779796,91.9566129195516,0
24.68859430518059,91.90153272258665,0
24.6868024619895,91.92727746251467,1
24.72446662588854,91.95801608498329,0
24.738646705148543,91.94174584586023,1
24.669583013693938,91.96546396065777,0
24.727271831711835,91.95050986033972,0
24.72818793206655,91.94386945341911,0
24.70585394627613,91.93734978953361,0
24.661109948749285,91.90589524013397,0
24.66165068201491,91.95790321057554,0
24.687105994760245,91.94532337033887,0
24.74047795834013,91.91980953452601,0
24.695745670744934,91.96962704189879,1
24.679408240468298,91.90285344727725,0
24.68489229153547,91.91114307016211,0
24.74246913088792,91.97480002454378,0
24.71581116173885,91.98103290529149,0
24.731130436606925,91.91363747094051,1
24.739127715143056,91.94835139004965,1
24.731469455788726,91.98345664646638,0
24.687434164800553,91.90610784005044,0
24.67933059490647,91.9373071583325,0
24.732420868056504,91.97997703804748,0
24.65944844771182,91.94553755591288,0
24.696377996774828,91.91713450016555,0
24.669607406858614,91.92850079653704,0
24.74365783733143,91.92708258575914,0
24.705499260435186,91.96445770621234,1
24.691539210209616,91.99090486329793,0
24.74541566125639,91.92005456510762,0
24.703561086656247,91.9248857710254,0
