Latitude,Longitude,Map
23.95525895114867,91.09382524833312,60
23.97490009451945,91.05344187424744,40
23.930141122603818,91.12880362930663,10
24.089595581555564,90.95550916189232,10
24.099714569552418,90.97582470248511,40
23.978591321160692,91.06760251639409,40
24.097424941829793,91.1158824822533,10
23.927924996326734,91.05099249610669,40
24.02685363965127,91.04397545454478,60
24.065738644299977,90.98042606943827,40
24.06509558218372,90.95304054955825,40
23.951848556453616,90.97172661052502,10
23.98328229066618,91.08039799655818,40
24.012312851089465,91.1087247754715,10
23.979627509058382,91.0924699930392,40
24.053950270327963,91.0130859794539,80
23.987735864041106,91.14041323448801,40
24.039907493420564,91.13498248915538,10
24.065620151371984,91.11045531240751,10
24.000690442350717,91.03730675578697,40
23.99960922487965,91.14375650577868,40
23.959469851726013,91.13738684926018,40
24.002959514893295,91.03197164741528,40
24.010858750096506,91.02212014302263,40
24.01128327653723,90.95585108880307,10
23.942682720498357,91.09235151506248,40
24.041998047205038,90.95442991701978,10
23.981531893017667,90.99219710154956,40
23.937418913134564,91.05138790134546,90
24.002441169442378,90.95840560375082,80
24.030518512684047,91.10624833003604,40
23.94796027070557,91.00321040594972,40
24.04298379125901,91.04541608672949,40
24.018669562591526,91.03928997343426,10
24.088521002938773,91.06754271925278,10
24.036087936857232,91.03585111742476,40
24.013899407328932,91.12287278023129,40
23.96503661722409,91.13386048980563,90
23.940738866185058,91.0654629253996,40
23.933123873313995,91.07918533976186,40
24.04221136958388,91.11778696751743,60
24.09695935366229,91.03619468139043,40
24.04807248990844,91.12989658637419,40
24.0389792326008,91.01211045677154,10
23.985005913151664,91.00601722749902,40
24.099798798503183,91.02842989044545,40
24.097844331959973,91.11675451164068,60
24.051486010134788,90.94961081011972,40
24.089485572745925,91.1290224408418,10
23.92858180942128,91.07481419306819,40
23.996835470713474,91.0655783024835,40
24.03742877176603,91.06633724770398,40
23.983711708294493,90.96264435926258,90
24.071604792739254,91.1273721839898,40
23.962548753903857,90.99019175865095,40
23.9954362001945,91.02782091436788,40
24.086799782140044,90.98853710258894,40
24.002917148670182,91.07579936212844,40
24.019584909307568,91.01431190681501,10
24.067599122855583,90.9754774214832,40
23.962015429329668,91.02777040101348,10
24.0691054293581,90.99864787620682,40
23.94721957263985,91.13113862429154,10
23.950260940438085,91.06739154797691,40
23.979723805977198,91.07160467642261,40
24.046186387719555,90.96222400300765,40
23.991477844963693,91.01448642786991,10
23.959459449465104,90.95053380130999,10
23.929396778505048,91.06591437214155,40
23.942748552669176,91.01075641959753,40
24.101814320318905,91.11996309575521,40
24.09176733594273,90.98222326647002,40
23.98452575204412,90.9962935122771,40
24.0158622565276,91.05543921803805,40
24.0004770455811,91.09428731767363,40
24.043353559972083,91.07802771178729,40
23.954370185579716,91.09510423794075,10
24.042942315159756,91.00734324405207,50
23.995145972846732,91.14248217443895,40
23.989525828674996,91.01619346962971,10
24.037940960638434,91.07001199513486,40
23.929921315270306,91.06140723917818,40
24.06745625158176,91.13489803720111,40
24.054015016944494,90.97171344030019,10
23.971892614510296,91.03097067404894,40
24.041247965320327,90.96765465781442,40
23.997751780493036,91.01198946044907,40
24.102301419067977,91.13867589668229,40
24.061291145572614,91.0503002128,40
23.957115441083015,91.13480006753541,40
24.093394371284543,91.12172244457109,40
23.93670249022783,91.10065475154333,40
23.946573529738913,91.12619026423339,10
24.033304380968204,91.14237684477126,40
24.004652971740732,91.07225465127176,40
24.067204670401704,90.99982414107309,40
24.042486245489258,91.11080583001679,40
24.02132357124413,91.03205634302098,10
24.023068616462425,91.13413387345705,40
24.107330525617247,91.0802944385646,60
24.069596973923634,91.14110409739902,40
23.952990875169665,90.954112666166,80
24.06183543517699,91.06965875344719,40
23.945369631125576,91.05112494385371,40
24.01882717550167,91.00488904341243,40
23.97222317136938,90.98426893930267,40
24.032573198360595,90.97909539394736,80
24.055588690996817,91.11706022897697,40
24.051038619305054,91.00086394067627,80
23.998961625188393,91.04938546253979,40
23.98945552153377,91.05576393610649,40
24.050980203412617,91.00762939104048,80
23.9662705450196,91.10327152897378,40
24.06712686525385,90.95713469708681,40
24.04366888334977,90.9740598592702,40
24.026064567192655,91.00603029548746,40
24.076123314180414,90.96802306546778,60
24.08901923519149,91.01590849925879,40
23.951286258118497,91.03853493959927,40
23.942712435945786,91.09385987426636,40
23.992970451090734,91.01425879773568,40
23.946668811432477,90.9854035399331,40
24.020953527312933,90.97101201154203,80
24.014597370415615,91.13129763692048,40
23.99928956863244,90.98427731786406,40
24.072460925501073,91.07830020496668,40
24.03790167196542,90.97321603030879,40
23.99077582022797,91.04157222313617,10
23.99560615941901,90.9924067685632,40
23.968343929377877,90.97692453633624,80
24.058773234035467,90.97304562890534,40
23.985060195249815,91.02563104500204,40
23.93434571140239,90.97930927607794,40
23.958225516991924,91.09974886050867,40
23.970560509570642,91.09521900035449,10
23.990047526711418,91.07839375078055,40
24.045300717724547,90.99457015166361,80
24.003269826139917,91.08139448833855,10
24.036445965926156,91.06811091869749,40
23.934623219546925,91.1261981111249,40
24.087497723692874,90.98394246346983,40
23.997318895581397,91.1266284748778,40
24.008876263194427,91.03378042887275,40
24.055208054774102,90.98046235682001,50
24.082944352183205,90.9516806948216,30
23.94085100030418,91.02254932348964,40
23.972389624474236,91.04930859891975,40
23.953336697223783,91.07456547540167,40
24.024526596566343,91.11141540659281,40
23.975945542666704,90.98244982892356,10
24.02224622884954,90.99630822671494,40
24.009610890690777,90.97176751919775,80
24.03544932447837,91.11273092608286,40
24.091685986901503,91.13504386320871,60
24.032160464065043,91.04971318782322,40
24.06728292348785,91.08052418700211,40
23.956990845934016,91.03265789729244,10
23.95530030528527,91.0598939272546,40
24.01912787932639,91.03779025641371,40
24.105843768313886,91.12516275848296,10
23.95476643644767,91.06791405131918,10
24.01356786819969,91.1111629537563,10
24.09476184562711,91.11119048701008,40
23.932334998142736,91.12322967294057,40
23.957082785751517,91.01433926926404,40
23.99541107606448,91.10913830485855,50
23.96315668294302,90.98342272511299,40
